,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,14,aucun,no
14,15,laisse,leash
15,18,chaque,each
16,19,parlé,speak
17,20,arrivé,come
18,22,bébé,baby
19,23,longtemps,long time
20,24,heures,hours
21,25,vont,will
22,26,pendant,while
23,27,revoir,meet again
24,28,aucune,any
25,29,place,square
26,30,parle,speak
27,31,compris,understood
28,32,savais,knew
29,33,étaient,were
30,34,attention,Warning
31,35,voici,here is
32,36,pourrais,could
33,37,affaire,case
34,38,donner,give
35,39,type,type
36,40,leurs,their
37,41,donné,given
38,42,train,train
39,43,corps,body
40,44,endroit,place
41,45,façon,way
42,46,écoute,listen
43,47,dont,whose
44,48,trouve,find
45,49,premier,first
46,50,perdu,lost
47,51,main,hand
48,52,première,first
49,53,côté,side
50,54,pouvoir,power
51,55,vieux,old
52,56,sois,be
53,57,tiens,here
54,58,matin,morning
55,59,tellement,so much
56,60,enfant,child
57,61,point,point
58,62,venu,came
59,63,suite,after
60,64,pardon,sorry
61,65,venez,come
62,66,devant,in front of
63,67,vers,towards
64,68,minutes,minutes
65,69,demandé,request
66,70,chambre,bedroom
67,71,mis,placed
68,72,belle,beautiful
69,73,droit,law
70,74,aimerais,would like to
71,75,aujourd'hui,today
72,76,mari,husband
73,77,cause,cause
74,78,enfin,finally
75,79,espère,hope
76,80,attendez,Wait
77,81,parti,left
78,82,nouvelle,new
79,84,arrêter,Stop
80,85,dirait,would say
81,86,terre,Earth
82,87,compte,account
83,88,donne,given
84,89,loin,far
85,90,fin,end
86,91,croire,believe
87,92,chérie,sweetheart
88,94,plutôt,rather
89,95,aura,will have
90,96,filles,girls
91,97,jouer,to play
92,98,bureau,office
